%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
121901000000,2438,121890000000,map,base_footprint,-1.00880288801,1.02983687388,-0.0533814648863,-5.34668515689e-07,0.000295750435984,0.00103253891039,0.999999423197,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.000244297739106,-0.00199170545846,-0.000477464556972,-0.0211368225549,0.00203772498033,-0.00022238159007,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
121950000000,2439,121933000000,map,base_footprint,-1.00880620474,1.02984329236,-0.0533808861502,-2.20576351769e-05,0.000297864872261,0.00103207064673,0.99999942281,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.00174438784696,-0.00587492940789,-0.000139289073734,-0.0592248955788,0.015853957496,-0.000320722007694,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
122000000000,2440,121997000000,map,base_footprint,-1.00881286529,1.02986299529,-0.053380743614,-3.15896973422e-06,0.000307299607989,0.00103377149839,0.999999418437,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.00261615895077,-0.00155908172166,0.000347054632605,-0.0172143488487,0.0236748940881,0.000354743064944,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
122068000000,2441,122058000000,map,base_footprint,-1.00881321534,1.02987410658,-0.0533815546492,4.04896493328e-06,0.000296277942861,0.00103397797522,0.999999421546,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.00236664050626,-0.00041733961372,-3.08598625268e-05,-0.00654276072243,0.0214047401331,-8.71516918786e-08,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
122111000000,2442,122091000000,map,base_footprint,-1.00881525787,1.02989288843,-0.0533817022497,3.02593891364e-05,0.000288079916871,0.00103400697361,0.999999423462,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.00380442710061,0.00505308127412,-0.00209525377648,0.0465667477653,-0.0361591905662,-0.00062349233526,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
122155000000,2443,122135000000,map,base_footprint,-1.0088178446,1.02989999061,-0.0533826731834,1.15648747498e-05,0.000285718151334,0.0010349720144,0.999999423532,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.000666105905564,0.000758652192048,-0.00113312037353,0.00448145724325,0.00532266577653,0.000899641704262,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
122200000000,2444,122196000000,map,base_footprint,-1.00882203468,1.02991475877,-0.0533826732407,1.15647443093e-05,0.000285718428571,0.00103558176526,0.999999422901,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.000666129796329,0.000759064356893,-0.00113317474918,0.00448162918584,0.00532262110985,0.000900140016599,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
122251000000,2445,122239000000,map,base_footprint,-1.00882731345,1.02992301012,-0.0533814649055,-5.35581661781e-07,0.000295750475012,0.00103610299929,0.999999419511,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.000244282306858,-0.00199172882313,-0.000477463128371,-0.0211371015639,0.00203757788769,-0.000222408845557,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
122300000000,2446,122283000000,map,base_footprint,-1.00883063019,1.02992942874,-0.0533808861447,-2.20584650985e-05,0.000297864804043,0.00103563473634,0.999999419125,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.00174434661761,-0.00587493512458,-0.000139288166919,-0.0592249764071,0.0158535441509,-0.000320706049209,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
122350000000,2447,122347000000,map,base_footprint,-1.00883484721,1.02995039638,-0.0533815546404,4.04825526315e-06,0.000296277954771,0.00103713502716,0.999999418277,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.00236663773223,-0.00041735333084,-3.08596308014e-05,-0.00654288210298,0.0214047036349,-1.947123773e-08,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1e-09,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
