%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
121377000000,12121,121376000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121386000000,12122,121386000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121396000000,12123,121396000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121406000000,12124,121406000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121416000000,12125,121416000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121426000000,12126,121426000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121436000000,12127,121436000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121446000000,12128,121446000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121456000000,12129,121456000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121466000000,12130,121466000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121476000000,12131,121476000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121486000000,12132,121486000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121496000000,12133,121496000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121507000000,12134,121506000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121516000000,12135,121516000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121526000000,12136,121526000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121536000000,12137,121536000000,,0,0,0.49,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
