%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
121385000000,3611,121383606506,map,0.021779794246,0.0174261052161,-0.0183682367206,-0.0020020367547,-0.000906000962141,0.00696025700363,-0.999973388224
121417000000,3612,121415607865,map,0.0218891110271,0.0179170649499,-0.0180714949965,-0.00202646385802,-0.000914378924212,0.00695760175218,-0.999973346077
121449000000,3613,121443607865,map,0.0219402685761,0.0183782000095,-0.0177586246282,-0.00204691339368,-0.00091112201003,0.00692202981204,-0.999973598959
121485000000,3614,121483607865,map,0.0221835635602,0.0192362517118,-0.0172311086208,-0.00204567018512,-0.000925559816346,0.00694230244617,-0.999973388224
121517000000,3615,121515609224,map,0.0224739257246,0.020052883774,-0.0168575737625,-0.0020709321994,-0.000956360683847,0.00695351350787,-0.999973219637
121549000000,3616,121543609224,map,0.0227218363434,0.0207482799888,-0.0165518634021,-0.00206319948747,-0.000982280090182,0.00696872852019,-0.99997317749
121585000000,3617,121583609224,map,0.022774124518,0.0214603021741,-0.0160808395594,-0.00208474196005,-0.000991850882153,0.00699612397172,-0.999972924609
121617000000,3618,121615610582,map,0.0220539402217,0.0212344247848,-0.0157726723701,-0.00207746269717,-0.000996674103288,0.00696468242273,-0.999973093196
121649000000,3619,121643610582,map,0.0213588774204,0.0210008714348,-0.0154713205993,-0.00207419425846,-0.000979474649419,0.0069412909218,-0.999973303931
121685000000,3620,121683610582,map,0.0206769537181,0.0210376214236,-0.0150855099782,-0.00207603620745,-0.00094025997033,0.00697585133758,-0.99997305105
121717000000,3621,121715611939,map,0.0203072112054,0.0213219691068,-0.0147951310501,-0.00209503834459,-0.000946692139176,0.00698849539214,-0.999972966756
121749000000,3622,121743611939,map,0.019948747009,0.0215447172523,-0.0145261343569,-0.0021036215256,-0.000945414850943,0.00695802322066,-0.99997317749
121785000000,3623,121783611939,map,0.0196380224079,0.022119294852,-0.0140549298376,-0.00204868352015,-0.000918805289964,0.00690930146378,-0.999973683252
121817000000,3624,121815613296,map,0.0195261910558,0.0227273348719,-0.0136890280992,-0.00202669887609,-0.000932360564321,0.00690015559766,-0.999973725399
121849000000,3625,121843613296,map,0.0194237157702,0.023256085813,-0.0134154520929,-0.00200839989985,-0.000937306562848,0.00687406669843,-0.999973936133
121885000000,3626,121883613296,map,0.0194283872843,0.0242449361831,-0.0130165759474,-0.00200978877022,-0.000985096149975,0.00694120662811,-0.999973388224
121917000000,3627,121915614652,map,0.0195414163172,0.0251816827804,-0.0126983281225,-0.00202872838679,-0.000947467698811,0.00687798635534,-0.999973893987
121949000000,3628,121943614652,map,0.0196147654206,0.0259957630187,-0.0124247800559,-0.00197568711301,-0.000951964034916,0.00687887143916,-0.999973936133
121985000000,3629,121983614652,map,0.0196384228766,0.0266591608524,-0.0118057020009,-0.00199278976083,-0.000884251583107,0.00683423792659,-0.999974315455
122017000000,3630,122015616007,map,0.0193489920348,0.0260082148015,-0.0114776613191,-0.00206004612941,-0.000931165100244,0.00684186650617,-0.999974104721
122049000000,3631,122043616007,map,0.019080394879,0.0253622494638,-0.0111772483215,-0.00211289309141,-0.00095280808318,0.00682563996949,-0.999974062574
122085000000,3632,122083616007,map,0.0188879370689,0.0249117705971,-0.0107405800372,-0.00213163390986,-0.00096134977588,0.00686070614745,-0.999973725399
122117000000,3633,122115606862,map,0.0188750140369,0.0248918551952,-0.0103226900101,-0.00212129718946,-0.000960707571508,0.00687608974716,-0.999973683252
122149000000,3634,122143606862,map,0.0188662856817,0.0248180795461,-0.00998248718679,-0.00214445330188,-0.000976520171802,0.00686879834237,-0.999973641105
122185000000,3635,122183606862,map,0.0189650263637,0.0250202994794,-0.00959701742977,-0.00216066617376,-0.000999333964556,0.00684292017738,-0.999973725399
122217000000,3636,122215597717,map,0.0191170163453,0.0254130288959,-0.00921193044633,-0.00216290831202,-0.00104970130068,0.00686803969909,-0.999973556812
122249000000,3637,122243597717,map,0.0192417856306,0.0257358327508,-0.00882652774453,-0.00216710933207,-0.00103754308734,0.00688401335468,-0.999973430371
122285000000,3638,122283597717,map,0.0195159185678,0.0264078900218,-0.00824598316103,-0.00215073709242,-0.00100834997394,0.00690437028251,-0.999973388224
122317000000,3639,122315599071,map,0.0197921451181,0.0271146874875,-0.00782117433846,-0.00218063633017,-0.000969787583184,0.00691102948457,-0.999973303931
122349000000,3640,122343599071,map,0.0200383402407,0.0277331620455,-0.00752835255116,-0.00220221057753,-0.00100889096825,0.00693185002774,-0.99997305105
122385000000,3641,122383599071,map,0.0201290752739,0.0281975846738,-0.00733869243413,-0.00219392748702,-0.000985587959246,0.00689964983548,-0.999973303931
122417000000,3642,122415600424,map,0.0196440443397,0.0274334959686,-0.0072682145983,-0.00212613753276,-0.000997652206519,0.00696316513618,-0.999973008903
122449000000,3643,122443600424,map,0.0192210692912,0.0266721341759,-0.00722800754011,-0.00212534567414,-0.000960812527039,0.00694318752999,-0.99997317749
122485000000,3644,122483600424,map,0.0188065096736,0.0260478574783,-0.00740533135831,-0.00214093597451,-0.000889920951617,0.00694478911023,-0.999973261784
122517000000,3645,122515601777,map,0.0186128802598,0.0258721336722,-0.00752484193072,-0.0021625359051,-0.000938361180718,0.00691945885428,-0.999973303931
122549000000,3646,122543601777,map,0.0184533931315,0.0256417579949,-0.00759772863239,-0.00219022527328,-0.000951936869955,0.00691326326755,-0.999973261784
