%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
122176000000,12201,122176000000,,0.0,0.0,0.0,0.0,0.0
122186000000,12202,122186000000,,0.0,0.0,0.0,0.0,0.0
122196000000,12203,122196000000,,0.0,0.0,0.0,0.0,0.0
122206000000,12204,122206000000,,0.0,0.0,0.0,0.0,0.0
122216000000,12205,122216000000,,0.0,0.0,0.0,0.0,0.0
122226000000,12206,122226000000,,0.0,0.0,0.0,0.0,0.0
122236000000,12207,122236000000,,0.0,0.0,0.0,0.0,0.0
122246000000,12208,122246000000,,0.0,0.0,0.0,0.0,0.0
122256000000,12209,122256000000,,0.0,0.0,0.0,0.0,0.0
122266000000,12210,122266000000,,0.0,0.0,0.0,0.0,0.0
122276000000,12211,122276000000,,0.0,0.0,0.0,0.0,0.0
122286000000,12212,122286000000,,0.0,0.0,0.0,0.0,0.0
122296000000,12213,122296000000,,0.0,0.0,0.0,0.0,0.0
122306000000,12214,122306000000,,0.0,0.0,0.0,0.0,0.0
122317000000,12215,122317000000,,0.0,0.0,0.0,0.0,0.0
122326000000,12216,122326000000,,0.0,0.0,0.0,0.0,0.0
122337000000,12217,122337000000,,0.0,0.0,0.0,0.0,0.0
122346000000,12218,122346000000,,0.0,0.0,0.0,0.0,0.0
122356000000,12219,122356000000,,0.0,0.0,0.0,0.0,0.0
122366000000,12220,122366000000,,0.0,0.0,0.0,0.0,0.0
122376000000,12221,122376000000,,0.0,0.0,0.0,0.0,0.0
122386000000,12222,122386000000,,0.0,0.0,0.0,0.0,0.0
122396000000,12223,122396000000,,0.0,0.0,0.0,0.0,0.0
122407000000,12224,122407000000,,0.0,0.0,0.0,0.0,0.0
122416000000,12225,122416000000,,0.0,0.0,0.0,0.0,0.0
122426000000,12226,122426000000,,0.0,0.0,0.0,0.0,0.0
122436000000,12227,122436000000,,0.0,0.0,0.0,0.0,0.0
122446000000,12228,122446000000,,0.0,0.0,0.0,0.0,0.0
122456000000,12229,122456000000,,0.0,0.0,0.0,0.0,0.0
122466000000,12230,122466000000,,0.0,0.0,0.0,0.0,0.0
122476000000,12231,122476000000,,0.0,0.0,0.0,0.0,0.0
122487000000,12232,122487000000,,0.0,0.0,0.0,0.0,0.0
122496000000,12233,122496000000,,0.0,0.0,0.0,0.0,0.0
122506000000,12234,122506000000,,0.0,0.0,0.0,0.0,0.0
122516000000,12235,122516000000,,0.0,0.0,0.0,0.0,0.0
122526000000,12236,122526000000,,0.0,0.0,0.0,0.0,0.0
122536000000,12237,122536000000,,0.0,0.0,0.0,0.0,0.0
122546000000,12238,122546000000,,0.0,0.0,0.0,0.0,0.0
122556000000,12239,122556000000,,0.0,0.0,0.0,0.0,0.0
122566000000,12240,122566000000,,0.0,0.0,0.0,0.0,0.0
122576000000,12241,122576000000,,0.0,0.0,0.0,0.0,0.0
122586000000,12242,122586000000,,0.0,0.0,0.0,0.0,0.0
122596000000,12243,122596000000,,0.0,0.0,0.0,0.0,0.0
122606000000,12244,122606000000,,0.0,0.0,0.0,0.0,0.0
122616000000,12245,122616000000,,0.0,0.0,0.0,0.0,0.0
122626000000,12246,122626000000,,0.0,0.0,0.0,0.0,0.0
122637000000,12247,122636000000,,0.0,0.0,0.0,0.0,0.0
122646000000,12248,122646000000,,0.0,0.0,0.0,0.0,0.0
122657000000,12249,122657000000,,0.0,0.0,0.0,0.0,0.0
122666000000,12250,122666000000,,0.0,0.0,0.0,0.0,0.0
122676000000,12251,122676000000,,0.0,0.0,0.0,0.0,0.0
122686000000,12252,122686000000,,0.0,0.0,0.0,0.0,0.0
122696000000,12253,122696000000,,0.0,0.0,0.0,0.0,0.0
122706000000,12254,122706000000,,0.0,0.0,0.0,0.0,0.0
122717000000,12255,122717000000,,0.0,0.0,0.0,0.0,0.0
122726000000,12256,122726000000,,0.0,0.0,0.0,0.0,0.0
122736000000,12257,122736000000,,0.0,0.0,0.0,0.0,0.0
122746000000,12258,122746000000,,0.0,0.0,0.0,0.0,0.0
122756000000,12259,122756000000,,0.0,0.0,0.0,0.0,0.0
122766000000,12260,122766000000,,0.0,0.0,0.0,0.0,0.0
122776000000,12261,122776000000,,0.0,0.0,0.0,0.0,0.0
122786000000,12262,122786000000,,0.0,0.0,0.0,0.0,0.0
122796000000,12263,122796000000,,0.0,0.0,0.0,0.0,0.0
122806000000,12264,122806000000,,0.0,0.0,0.0,0.0,0.0
122816000000,12265,122816000000,,0.0,0.0,0.0,0.0,0.0
122826000000,12266,122826000000,,0.0,0.0,0.0,0.0,0.0
122836000000,12267,122836000000,,0.0,0.0,0.0,0.0,0.0
122846000000,12268,122846000000,,0.0,0.0,0.0,0.0,0.0
122856000000,12269,122856000000,,0.0,0.0,0.0,0.0,0.0
122866000000,12270,122866000000,,0.0,0.0,0.0,0.0,0.0
122876000000,12271,122876000000,,0.0,0.0,0.0,0.0,0.0
122886000000,12272,122886000000,,0.0,0.0,0.0,0.0,0.0
122896000000,12273,122896000000,,0.0,0.0,0.0,0.0,0.0
122906000000,12274,122906000000,,0.0,0.0,0.0,0.0,0.0
122916000000,12275,122916000000,,0.0,0.0,0.0,0.0,0.0
122926000000,12276,122926000000,,0.0,0.0,0.0,0.0,0.0
122936000000,12277,122936000000,,0.0,0.0,0.0,0.0,0.0
122946000000,12278,122946000000,,0.0,0.0,0.0,0.0,0.0
122956000000,12279,122956000000,,0.0,0.0,0.0,0.0,0.0
122966000000,12280,122966000000,,0.0,0.0,0.0,0.0,0.0
122976000000,12281,122976000000,,0.0,0.0,0.0,0.0,0.0
122986000000,12282,122986000000,,0.0,0.0,0.0,0.0,0.0
122997000000,12283,122996000000,,0.0,0.0,0.0,0.0,0.0
123006000000,12284,123006000000,,0.0,0.0,0.0,0.0,0.0
123017000000,12285,123016000000,,0.0,0.0,0.0,0.0,0.0
123026000000,12286,123026000000,,0.0,0.0,0.0,0.0,0.0
123037000000,12287,123036000000,,0.0,0.0,0.0,0.0,0.0
123046000000,12288,123046000000,,0.0,0.0,0.0,0.0,0.0
123056000000,12289,123056000000,,0.0,0.0,0.0,0.0,0.0
123066000000,12290,123066000000,,0.0,0.0,0.0,0.0,0.0
123077000000,12291,123077000000,,0.0,0.0,0.0,0.0,0.0
123086000000,12292,123086000000,,0.0,0.0,0.0,0.0,0.0
123096000000,12293,123096000000,,0.0,0.0,0.0,0.0,0.0
123106000000,12294,123106000000,,0.0,0.0,0.0,0.0,0.0
123116000000,12295,123116000000,,0.0,0.0,0.0,0.0,0.0
123126000000,12296,123126000000,,0.0,0.0,0.0,0.0,0.0
123136000000,12297,123136000000,,0.0,0.0,0.0,0.0,0.0
123146000000,12298,123146000000,,0.0,0.0,0.0,0.0,0.0
123156000000,12299,123156000000,,0.0,0.0,0.0,0.0,0.0
123166000000,12300,123166000000,,0.0,0.0,0.0,0.0,0.0
123176000000,12301,123176000000,,0.0,0.0,0.0,0.0,0.0
123186000000,12302,123186000000,,0.0,0.0,0.0,0.0,0.0
123196000000,12303,123196000000,,0.0,0.0,0.0,0.0,0.0
123207000000,12304,123206000000,,0.0,0.0,0.0,0.0,0.0
123216000000,12305,123216000000,,0.0,0.0,0.0,0.0,0.0
123227000000,12306,123227000000,,0.0,0.0,0.0,0.0,0.0
123236000000,12307,123236000000,,0.0,0.0,0.0,0.0,0.0
123247000000,12308,123247000000,,0.0,0.0,0.0,0.0,0.0
123256000000,12309,123256000000,,0.0,0.0,0.0,0.0,0.0
123266000000,12310,123266000000,,0.0,0.0,0.0,0.0,0.0
123276000000,12311,123276000000,,0.0,0.0,0.0,0.0,0.0
123286000000,12312,123286000000,,0.0,0.0,0.0,0.0,0.0
123296000000,12313,123296000000,,0.0,0.0,0.0,0.0,0.0
123306000000,12314,123306000000,,0.0,0.0,0.0,0.0,0.0
123316000000,12315,123316000000,,0.0,0.0,0.0,0.0,0.0
123326000000,12316,123326000000,,0.0,0.0,0.0,0.0,0.0
