%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
121797000000,12163,121797000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121807000000,12164,121807000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121817000000,12165,121817000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121827000000,12166,121827000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121837000000,12167,121837000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121847000000,12168,121847000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121857000000,12169,121857000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121867000000,12170,121867000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121877000000,12171,121877000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121887000000,12172,121887000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121897000000,12173,121897000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121907000000,12174,121907000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121917000000,12175,121917000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121927000000,12176,121927000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121937000000,12177,121937000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121947000000,12178,121947000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121957000000,12179,121957000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121967000000,12180,121967000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121977000000,12181,121977000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121987000000,12182,121987000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121997000000,12183,121997000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122007000000,12184,122007000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122017000000,12185,122017000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122027000000,12186,122027000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122038000000,12187,122037000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122047000000,12188,122047000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122057000000,12189,122057000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122067000000,12190,122067000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122077000000,12191,122077000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122087000000,12192,122087000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122097000000,12193,122097000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122107000000,12194,122107000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122117000000,12195,122117000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122127000000,12196,122127000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122137000000,12197,122137000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122147000000,12198,122147000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122157000000,12199,122157000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122167000000,12200,122167000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122177000000,12201,122177000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122187000000,12202,122187000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122197000000,12203,122197000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122207000000,12204,122207000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122217000000,12205,122217000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122227000000,12206,122227000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122237000000,12207,122237000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122247000000,12208,122247000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122257000000,12209,122257000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122267000000,12210,122267000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122277000000,12211,122277000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122287000000,12212,122287000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122297000000,12213,122297000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122307000000,12214,122307000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122317000000,12215,122317000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122327000000,12216,122327000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122337000000,12217,122337000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122348000000,12218,122348000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122357000000,12219,122357000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122368000000,12220,122368000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122377000000,12221,122377000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122387000000,12222,122387000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122397000000,12223,122397000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122407000000,12224,122407000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122417000000,12225,122417000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122427000000,12226,122427000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122437000000,12227,122437000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122448000000,12228,122447000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122457000000,12229,122457000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122467000000,12230,122467000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122477000000,12231,122477000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122487000000,12232,122487000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
